owner_name,property_address,apn,last_sale_value,last_sale_date,property_mail_address,property_mail_city,matched_entity_name,matched_entity_type,entity_address,entity_city,entity_state,entity_ein,ppp_borrower_name,ppp_borrower_city,ppp_borrower_state,ppp_amount,ppp_loan_number,ppp_loan_status,ppp_lender,ppp_lender_city,ppp_lender_state,ppp_date_approved
DDA LLC,17150 SAN MATEO ST # 9,930-294-09,0.0,04/10/2009,PO BOX 722,ZEPHYR COVE,,,,,,,DDA LLC,LOUISVILLE,KY,42200.0,4676697109,Paid in Full,Republic Bank & Trust Company,LOUISVILLE,KY,04/13/2020
PHAM FAMILY LLC,7192 MAIN ST # 10,939-100-16,0.0,04/05/2007,9800 NEWVILLE AVE,DOWNEY,,,,,,,"PHAM FAMILY, LLC",TUCKER,GA,36424.0,5903457701,Paid in Full,"Bank of America, National Association",CHARLOTTE,NC,05/01/2020
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,936-178-59,0.0,12/12/2019,6000 HACKBERRY CT,FRISCO,,,,,,,JJ HOLDINGS LLC,LAFAYETTE,LA,36200.0,4771667000,Paid in Full,Gulf Coast Bank,ABBEVILLE,LA,04/04/2020
DDA LLC,17150 SAN MATEO ST # 9,930-294-09,0.0,04/10/2009,PO BOX 722,ZEPHYR COVE,,,,,,,DDA LLC,Louisville,KY,35500.0,5499298302,Paid in Full,Republic Bank & Trust Company,LOUISVILLE,KY,01/25/2021
SAMPSON VENTURES LLC,17682 SAMPSON LN,165-331-17,0.0,01/29/2025,12221 POPLAR ST STE 3,HESPERIA,,,,,,,"SAMPSON VENTURES, LLC",PANAMA CITY,FL,35480.0,2706277300,Paid in Full,Trustmark National Bank,JACKSON,MS,04/29/2020
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,936-178-59,0.0,12/12/2019,6000 HACKBERRY CT,FRISCO,,,,,,,"J&J HOLDINGS, LLC",Shakopee,MN,34837.0,5014518604,Paid in Full,"Bank of America, National Association",CHARLOTTE,NC,03/20/2021
DDA LLC,17150 SAN MATEO ST # 9,930-294-09,0.0,04/10/2009,PO BOX 722,ZEPHYR COVE,,,,,,,DDA LLC,Fairlawn,NJ,30000.0,9536917300,Paid in Full,"TD Bank, National Association",WILMINGTON,DE,05/02/2020
SAMPSON VENTURES LLC,17682 SAMPSON LN,165-331-17,0.0,01/29/2025,12221 POPLAR ST STE 3,HESPERIA,,,,,,,SAMPSON VENTURES LLC,Panama City,FL,29673.0,4607048508,Paid in Full,Trustmark National Bank,JACKSON,MS,02/26/2021
JBH LLC,711 W 17TH ST # 19,939-830-19,0.0,03/16/2000,18331 E SANTA CLARA AVE,NORTH TUSTIN,,,,,,,JBH LLC,DALTON,PA,28067.0,4186577301,Paid in Full,The Honesdale National Bank,HONESDALE,PA,04/29/2020
PTCM LLC,1940 MAPLE AVE APT 101,935-500-60,0.0,07/09/2013,10781 LACONIA DR,VILLA PARK,,,,,,,"PTCM, LLC",EAGAN,MN,20832.0,4975628204,Paid in Full,"JPMorgan Chase Bank, National Association",CHICAGO,IL,08/07/2020
JBH LLC,711 W 17TH ST # 19,939-830-19,0.0,03/16/2000,18331 E SANTA CLARA AVE,NORTH TUSTIN,,,,,,,JBH LLC,Falls Church,VA,20800.0,8952867401,Paid in Full,Atlantic Union Bank,RICHMOND,VA,05/19/2020
JBH LLC,711 W 17TH ST # 19,939-830-19,0.0,03/16/2000,18331 E SANTA CLARA AVE,NORTH TUSTIN,,,,,,,JBH LLC,PHOENIX,AZ,20607.0,4788777201,Paid in Full,Stearns Bank National Association,SAINT CLOUD,MN,04/27/2020
LOTUS PROPERTIES LLC,14472 SPA DR,195-195-13,0.0,05/06/2021,18391 OLD LAMPLIGHTER CIR,VILLA PARK,,,,,,,LOTUS PROPERTIES LLC,SPRING,TX,20265.0,4513087708,Paid in Full,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,05/01/2020
SAMPSON VENTURES LLC,17682 SAMPSON LN,165-331-17,0.0,01/29/2025,12221 POPLAR ST STE 3,HESPERIA,,,,,,,SAMPSON VENTURES LLC,Mesa,AZ,20037.0,8670827707,Paid in Full,WebBank,SALT LAKE CITY,UT,05/01/2020
PARS LLC,200 HARBOR WOODS PL,934-040-58,0.0,06/14/2018,3117 S COLUMBIA CIR,TULSA,,,,,,,PARS LLC,Farmington Hills,MI,19169.0,1168688603,Paid in Full,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,03/12/2021
